Id_bien;Type_bien ;No_voie;Type_de_voie;Voie;Code_type_de_voie;Code_voie;id_Commune
1;Appartement;190;RUE;CENTRALE;0;5;1350
2;Appartement;347;RUE;DU CHATEAU;0;20;1103
3;Appartement;58;AV;DU MONT BLANC;1;527;1143
4;Maison;140;RUE;DE L'ABBE JOLIVET;0;2;1288
5;Appartement;39;RUE;BUFFON;0;110;133
6;Appartement;28;AV;JEAN FALCONNIER;1;179;1138
7;Appartement;8;RUE;DE GENEVE;0;120;1354
8;Appartement;2;RUE;DU RECULET;0;210;1354
9;Maison;1403;RUE;JEAN DE GINGINS;0;465;1143
10;Maison;226;ALL;DES CAPUCINES;2;36;1354
11;Appartement;276;RTE;DE POUGNY;3;210;1288
12;Appartement;79;CRS;DE VERDUN;4;1490;1283
13;Appartement;77;RUE;DU COMMERCE;0;20;1357
14;Appartement;240;RUE;DE PRE BAILLY;0;650;1173
15;Appartement;3;RUE;TURENNE;0;541;133
16;Appartement;44;ALL;DU SQUARE DE LAUSANNE;2;695;1143
17;Appartement;59;RUE;ALEXANDRE BERARD;0;40;14
18;Appartement;282;CHE;DES LONGES RAYES;5;130;171
19;Appartement;54;GR;GRANDE RUE;6;45;1396
20;Appartement;1;RUE;DE GEX;0;160;1160
21;Appartement;17;LOT;LES JARDINS DE CHEVRY;7;A036;1103
22;Appartement;329;RUE;DES CARPIERES;0;25;1399
23;Appartement;369;AV;CHARLES DE GAULLE;1;55;1202
24;Appartement;154;RUE;SUR LA VIGNETTE;0;33;1204
25;Appartement;6;RUE;DES USINIERS;0;745;1173
26;Appartement;2;RUE;DU JURA;0;135;1354
27;Appartement;54;RUE;MARCEL DEMIA;0;455;14
28;Appartement;269;CHE;DE CHARIGNIN;5;191;134
29;Maison;322;RUE;DE BRETIGNY;0;37;1281
30;Appartement;132;ALL;DES HETRES;2;124;1354
31;Appartement;80;RUE;DE MEYRIN;0;170;1160
32;Appartement;4;RUE;DE LA MAIRIE;0;190;1138
33;Appartement;79;GR;GRANDE RUE DE BULLIEZ;6;182;1202
34;Appartement;8;RUE;DE LA BIENNE;0;15;1148
35;Appartement;29;RUE;REINE CLOTILDE;0;540;14
36;Appartement;3;RUE;STE MARIE;0;730;134
37;Maison;956;RTE;DE BOURG;3;25;1202
38;Appartement;1;AV;DU BIJOU;1;20;1160
39;Maison;58;CHE;DE LA PLANCHE BRULEE;5;55;1160
40;Appartement;211;RUE;CHANTEPIE;0;16;1313
41;Appartement;25;RUE;DE LA ROCHE SAMUEL;0;53;160
42;Maison;25;RUE;DE LA COMMUNE 1871;0;246;14
43;Appartement;6;;DE LA TOUR;8;135;1363
44;Appartement;91;CHE;DE LA PLANCHE BRULEE;5;55;1160
45;Appartement;3;RUE;DU DOCTEUR GREZEL;0;270;1269
46;Appartement;28;RUE;DU DOC CHARCOT;0;70;1345
47;Maison;312;RUE;DES TERRASSES;0;342;1419
48;Appartement;10;RUE;AMPERE;0;40;1283
49;Appartement;1;RUE;GERARD DE NERVAL;0;95;131
50;Appartement;10;RUE;DES HAUTAINS;0;130;1354
51;Maison;102;MAIL;DU NEUTRINO;9;77;1313
52;Appartement;84;RUE;DE MEYRIN;0;170;1160
53;Appartement;115;RUE;MASONOD;0;410;1185
54;Maison;812;RUE;DES VERTES CAMPAGNES;0;755;1173
55;Appartement;26;CHE;DE LA PLANCHE BRULEE;5;55;1160
56;Appartement;2;RUE;DE CHAMP FUSY;0;45;1354
57;Appartement;53;ALL;DES PRUNUS;2;201;1354
58;Appartement;541;RUE;DES MONTS JURA;0;75;1210
59;Appartement;386;CHE;DES SOUPIRS;5;752;134
60;Appartement;663;RTE;BLANCHE;3;12;1399
61;Appartement;377;RUE;DES ABATTOIRS;0;11;1173
62;Appartement;60;ALL;DES FRERES CAUDRON;2;295;14
63;Appartement;86;RUE;DE LA REPUBLIQUE;0;490;133
64;Appartement;148;IMP;DU SAUGY;10;123;1281
65;Maison;77;LOT;CLOS CHAMP VRILLARD;7;A010;171
66;Appartement;27;RLE;DE L EGLISE;11;240;1173
67;Appartement;5;PL;DE L EGLISE;12;145;1202
68;Appartement;94;ALL;SIMON VAN DER MEER;2;109;1313
69;Appartement;242;RUE;DE PRE BAILLY;0;650;1173
70;Appartement;8;RTE;DE DIVONNE;3;55;1436
71;Appartement;24;RUE;LAMARTINE;0;340;133
72;Maison;88;RUE;DU PETIT CHAMP;0;275;1419
73;Appartement;27;RUE;DES VERGERS;0;367;1419
74;Maison;250;RUE;DES FRENES;0;54;1192
75;Appartement;13;RUE;JEAN MONNET;0;398;14
76;Appartement;2;RUE;DE LA BATISSE;0;161;14
77;Appartement;33;RUE;DE GENEVE;0;120;1354
78;Appartement;30;RUE;DE VERSOIX;0;175;1160
79;Maison;923;RTE;DE MURY;3;145;1153
80;Maison;77;RUE;LA PIECE;0;82;1103
81;Maison;103;MAIL;DU NEUTRINO;9;77;1313
82;Appartement;33;MAIL;DU NEUTRINO;9;77;1313
83;Appartement;75;RUE;DES VERGERS;0;367;1419
84;Appartement;27;RTE;DE CESSY;3;5;1435
85;Appartement;60;RUE;DE SAVOIE;0;509;133
86;Appartement;90;RUE;DE LAUSANNE;0;490;1143
87;Appartement;72;RUE;DE LA REPUBLIQUE;0;550;14
