Id_vente;id_bien;Date_mutation;Nature_mutation;Valeur fonciere;Surface Carrez ;Nombre pieces
1;1;2020-02-03;Vente;56000;50,42;2
2;2;2020-01-02;Vente;165000;48,22;3
3;3;2020-01-08;Vente;720000;130,8;6
4;4;2020-01-06;Vente;429250;109,22;5
5;5;2020-01-07;Vente;220900;108,65;4
6;6;2020-01-21;Vente;42000;31,65;2
7;7;2020-01-07;Vente;262000;52,58;2
8;8;2020-01-08;Vente;190000;58,71;2
9;9;2020-01-16;Vente;563130;93,23;4
10;10;2020-01-17;Vente;535000;117;5
11;11;2020-01-16;Vente;330000;35,6;2
12;12;2020-01-27;Vente;110600;138,03;5
13;13;2020-01-30;Vente;50000;42;2
14;14;2020-01-09;Vente;212000;45,36;2
15;15;2020-01-15;Vente;160000;82,6;4
16;16;2020-01-20;Vente;561550;88,11;4
17;17;2020-01-28;Vente;358000;164,87;6
18;18;2020-01-22;Vente;220000;42,2;2
19;19;2020-01-27;Vente;79300;68,11;3
20;20;2020-01-06;Vente;285000;82,59;3
21;21;2020-01-27;Vente;123100;30,23;1
22;22;2020-01-16;Vente;107500;24,8;1
23;23;2020-01-30;Vente;128810;52,6;2
24;24;2020-02-05;Vente;31000;91,69;3
25;25;2020-01-21;Vente;125000;45,54;1
26;26;2020-01-31;Vente;285000;84,24;3
27;27;2020-02-03;Vente;140500;68,23;3
28;28;2020-01-27;Vente;101050;62,03;3
29;29;2020-01-31;Vente;530000;112,93;4
30;30;2020-01-29;Vente;486415;131,91;4
31;31;2020-01-28;Vente;185000;63,58;3
32;32;2020-01-16;Vente;131376;35,86;3
33;33;2020-01-23;Vente;155000;70,09;3
34;34;2020-01-31;Vente;150000;200;4
35;35;2020-02-03;Vente;67000;54,84;2
36;36;2020-01-13;Vente;114000;72,75;4
37;37;2020-02-07;Vente;143850;94,09;2
38;38;2020-01-23;Vente;237900;71,08;3
39;39;2020-01-24;Vente;425000;97,03;4
40;40;2020-02-06;Vente;220000;44,48;2
41;41;2020-02-07;Vente;55000;64,21;2
42;42;2020-02-07;Vente;164665;70,1;3
43;43;2020-02-10;Vente;89000;76,7;4
44;44;2020-02-06;Vente;475150;133,77;4
45;45;2020-02-12;Vente;132500;107,61;5
46;46;2020-02-05;Vente;68000;42,78;2
47;47;2020-01-30;Vente;570840;124,55;5
48;48;2020-02-03;Vente;135700;68,11;2
49;49;2020-02-05;Vente;62500;70,78;3
50;50;2020-02-03;Vente;332500;112,3;5
51;51;2020-02-07;Vente;428000;95,43;4
52;52;2020-01-28;Vente;210000;63,45;3
53;53;2020-02-12;Vente;50000;77,3;4
54;54;2020-01-28;Vente;592487;164,18;6
55;55;2020-02-10;Vente;295000;66,95;3
56;56;2020-02-12;Vente;133000;30,62;1
57;57;2020-01-29;Vente;580450;165,92;5
58;58;2020-02-20;Vente;105500;51,99;2
59;59;2020-02-04;Vente;152900;63,17;3
60;60;2020-02-05;Vente;352300;84,97;3
61;61;2020-02-17;Vente;215000;88,7;4
62;62;2020-02-14;Vente;128460;50,64;2
63;63;2020-02-14;Vente;90500;38;1
64;64;2020-02-11;Vente;305500;70,53;3
65;65;2020-02-18;Vente;430000;105,68;6
66;66;2020-02-04;Vente;152470;46,12;3
67;67;2020-02-13;Vente;55000;37,63;2
68;68;2020-02-18;Vente;465660;87,38;4
69;69;2020-02-12;Vente;167550;50,33;2
70;70;2020-02-11;Vente;212862;134,17;4
71;71;2020-02-19;Vente;54000;47,65;3
72;72;2020-02-14;Vente;390000;99,13;4
73;73;2020-02-24;Vente;160000;43,42;2
74;74;2020-02-25;Vente;156580;83,6;4
75;75;2020-02-18;Vente;129258;54,65;2
76;76;2020-02-28;Vente;210000;81,15;3
77;77;2020-02-17;Vente;189350;53,43;3
78;78;2020-02-21;Vente;310000;74,85;3
79;29;2020-02-25;Vente;435000;90,33;4
80;79;2020-02-20;Vente;505000;99,39;4
81;80;2020-02-25;Vente;442100;123,16;5
82;81;2020-02-17;Vente;506000;110,13;5
83;82;2020-02-12;Vente;292000;71,43;3
84;83;2020-03-03;Vente;200000;56,02;3
85;84;2020-02-27;Vente;315800;85,12;4
86;85;2020-02-28;Vente;167000;75;4
87;86;2020-02-25;Vente;640000;135,68;4
88;87;2020-02-28;Vente;74000;35,59;2
89;88;2020-03-04;Vente;232550;62,38;3
90;88;2020-03-04;Vente;90000;92,04;4
91;89;2020-03-09;Vente;282000;46,05;2
92;90;2020-03-03;Vente;152000;34,56;2
93;91;2020-03-17;Vente;164000;43,23;2
94;92;2020-03-05;Vente;389500;83,82;4
95;93;2020-03-11;Vente;43000;38,67;2
96;94;2020-02-28;Vente;139130;88;3
97;95;2020-03-11;Vente;229100;56,96;2
98;90;2020-03-10;Vente;222450;55,4;3
99;96;2020-03-16;Vente;147500;74,72;2
100;97;2020-03-10;Vente;440000;295,21;6
101;98;2020-03-02;Vente;495000;222,97;3
102;99;2020-03-11;Vente;510000;113,52;4
103;100;2020-03-27;Vente;170000;127,2;4
104;101;2020-03-03;Vente;251500;47,6;2
105;102;2020-03-19;Vente;98000;65,29;3
106;103;2020-03-25;Vente;132300;81,24;4
107;104;2020-03-10;Vente;126000;42,89;2
108;105;2020-03-16;Vente;131500;69,66;3
109;106;2020-03-12;Vente;266960;69,65;3
